per,cluster,perform_std,perform_quart,f1_std,f2_std,f3_std
254,8,0.55130136,3,1.175181031,0.523497224,-0.035619333
255,8,-0.357195735,2,1.344613075,0.421335161,-0.600940347
256,8,-1.037064552,1,-0.165928274,0.264861852,-0.62179178
257,8,-1.029043078,1,-1.674522042,0.16356732,0.122543193
258,8,-0.553890467,1,-1.073647141,1.126420975,-1.013658285
259,8,0.334706098,3,-0.358952761,0.559637725,0.060620166
260,8,0.334706098,3,0.713646233,0.784891844,-0.807629347
261,8,0.379830331,3,-1.734017134,0.197504535,0.436075419
262,8,1.056691051,4,0.230134934,1.084811568,0.417899013
263,8,0.695699036,3,-1.038206458,1.650751472,0.715222836
264,8,0.840095818,4,-0.876342058,1.444874048,-0.443371683
265,8,0.531611741,3,-0.130753681,1.444753528,-0.183702067
266,8,0.803996623,4,1.590944171,0.884352863,-1.266885757
267,8,-0.081823446,2,-0.434819788,0.889304161,-0.933151484
268,8,-0.288825601,2,0.722221732,0.000880493,-2.654341221
269,8,1.909945846,4,-0.491940767,1.687502623,-0.315272421
270,8,1.146939516,4,-0.434477627,1.741949677,-1.730015874
271,8,1.177021742,4,-2.405955315,1.411374927,0.646921694
272,8,0.740822375,4,0.266426533,0.936526954,-0.375163794
273,8,1.089508533,4,0.49091813,0.12892592,-0.038789313
274,8,0.731798232,4,-0.772449911,0.782477796,-0.237214476
275,8,0.560326338,3,0.98802942,0.288071275,0.196694955
276,8,0.262507707,3,0.68317914,-0.099908158,0.686449468
277,8,-0.485731214,2,0.446531683,-0.10888882,0.369131863
278,8,0.289581895,3,-1.151242733,0.093934365,0.436732322
279,8,-0.828491628,1,-1.401262164,0.557335436,-0.051891658
280,8,0.424954534,3,0.73308599,-0.229014665,1.34863174
281,8,0.896249592,4,-0.737422407,2.36981225,-1.179771662
282,8,0.85613966,4,0.760798514,0.472799599,-1.088069916
283,8,1.778676033,4,-0.309676766,1.732956767,-0.467798859
284,8,-0.35117963,2,-0.371182621,0.456394404,-1.367925286
285,8,1.30487299,4,0.845634997,0.725542247,-0.781592667
286,8,0.199334309,3,0.588286221,0.317788929,0.044528887
287,8,1.58429563,4,0.326094419,1.123094797,-0.293822736
288,8,-0.315080434,2,-0.134684935,0.641148329,-1.477740765
289,8,0.294596165,3,-1.175005078,0.968379378,0.259259939
290,8,-0.347168058,2,-0.485071957,1.001498342,-1.613071442
291,8,-0.086451277,2,-0.747213602,1.229687095,-1.666406631
292,8,1.352048159,4,-0.733868301,1.034812689,-0.19376722
293,8,0.199334309,3,0.730365753,0.113672927,1.156639457
294,8,0.803996623,4,1.122942328,1.152673244,-1.058593392
295,8,-0.220666334,2,-0.61246103,-0.026307089,-0.845721006
